==13403== NVPROF is profiling process 13403, command: ./matrixMulCUBLAS 48
==13403== Profiling application: ./matrixMulCUBLAS 48
==13403== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
689.86ms  1.7639ms                    -               -         -         -         -  9.0000MB  4.9827GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
691.82ms  1.7818ms                    -               -         -         -         -  9.0000MB  4.9328GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
693.80ms  1.7701ms                    -               -         -         -         -  9.0000MB  4.9652GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
695.78ms  1.7729ms                    -               -         -         -         -  9.0000MB  4.9575GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
1.18167s     896ns                    -               -         -         -         -      112B  119.21MB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
1.18229s  3.1360us                    -               -         -         -         -  1.1250KB  350.33MB/s  TITAN X (Pascal         1         7  [CUDA memset]
1.18240s  682.57us            (12 24 3)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1         7  maxwell_sgemm_128x64_raggedMn_nn_splitK [268]
1.18309s  811.88ms              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        14  clock_block(long*, long) [277]
1.99498s     736ns                    -               -         -         -         -  1.1250KB  1.4577GB/s  TITAN X (Pascal         1        13  [CUDA memset]
1.99498s  679.57us            (12 24 3)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn_splitK [308]
1.99566s     608ns                    -               -         -         -         -  1.1250KB  1.7646GB/s  TITAN X (Pascal         1        13  [CUDA memset]
1.99567s  675.21us            (12 24 3)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn_splitK [339]
1.99635s     608ns                    -               -         -         -         -  1.1250KB  1.7646GB/s  TITAN X (Pascal         1        13  [CUDA memset]
