==26302== NVPROF is profiling process 26302, command: ./matrixMulCUBLAS 32
==26302== Profiling application: ./matrixMulCUBLAS 32
==26302== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
507.45ms  699.98us                    -               -         -         -         -  4.0000MB  5.5805GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
508.33ms  668.88us                    -               -         -         -         -  4.0000MB  5.8400GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
509.16ms  655.50us                    -               -         -         -         -  4.0000MB  5.9592GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
509.97ms  646.32us                    -               -         -         -         -  4.0000MB  6.0439GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
1.00512s  1.0560us                    -               -         -         -         -      112B  101.15MB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
1.00570s  3.9360us                    -               -         -         -         -      512B  124.06MB/s  TITAN X (Pascal         1         7  [CUDA memset]
1.00578s  226.37us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1         7  maxwell_sgemm_128x64_raggedMn_nn_splitK [268]
1.00601s  822.95ms              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        14  clock_block(long*, long) [277]
1.82897s     960ns                    -               -         -         -         -      512B  508.63MB/s  TITAN X (Pascal         1        13  [CUDA memset]
1.82898s  240.04us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn_splitK [308]
1.82922s     640ns                    -               -         -         -         -      512B  762.94MB/s  TITAN X (Pascal         1        13  [CUDA memset]
1.82923s  221.99us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn_splitK [339]
1.82945s     640ns                    -               -         -         -         -      512B  762.94MB/s  TITAN X (Pascal         1        13  [CUDA memset]
