==26261== NVPROF is profiling process 26261, command: ./matrixMulCUBLAS 16
==26261== Profiling application: ./matrixMulCUBLAS 16
==26261== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
402.71ms  87.362us                    -               -         -         -         -  1.0000MB  11.178GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
402.98ms  87.810us                    -               -         -         -         -  1.0000MB  11.121GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
403.24ms  87.266us                    -               -         -         -         -  1.0000MB  11.191GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
403.56ms  86.850us                    -               -         -         -         -  1.0000MB  11.244GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
894.97ms  1.0880us                    -               -         -         -         -      112B  98.172MB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
895.58ms  59.266us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1         7  maxwell_sgemm_128x64_raggedMn_nn [266]
895.65ms  822.95ms              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        14  clock_block(long*, long) [274]
1.71861s  56.929us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [302]
1.71867s  54.497us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [329]
1.71872s  55.137us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [356]
1.71878s  55.041us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [383]
1.71884s  56.769us              (4 8 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [410]
