==26248== NVPROF is profiling process 26248, command: ./matrixMulCUBLAS 12
==26248== Profiling application: ./matrixMulCUBLAS 12
==26248== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
386.65ms  49.441us                    -               -         -         -         -  576.00KB  11.111GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
386.80ms  50.049us                    -               -         -         -         -  576.00KB  10.976GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
386.95ms  50.049us                    -               -         -         -         -  576.00KB  10.976GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
387.10ms  49.761us                    -               -         -         -         -  576.00KB  11.039GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
866.23ms  1.1200us                    -               -         -         -         -      112B  95.367MB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
866.86ms  43.041us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1         7  maxwell_sgemm_128x64_raggedMn_nn [266]
866.93ms  822.96ms              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        14  clock_block(long*, long) [274]
1.68990s  41.281us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [302]
1.68994s  38.497us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [329]
1.68998s  37.505us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [356]
1.69002s  36.577us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [383]
1.69007s  36.416us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [410]
1.69011s  36.672us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [437]
1.69015s  37.665us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [464]
1.69019s  36.385us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [491]
1.69023s  37.121us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [518]
1.69027s  36.449us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [545]
1.69031s  37.089us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [572]
1.69035s  36.065us              (3 6 1)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn [599]
