==26835== NVPROF is profiling process 26835, command: ./matrixMulCUBLAS 32
==26835== Profiling application: ./matrixMulCUBLAS 32
==26835== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
513.10ms  670.22us                    -               -         -         -         -  4.0000MB  5.8283GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
513.96ms  637.07us                    -               -         -         -         -  4.0000MB  6.1316GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
514.79ms  646.64us                    -               -         -         -         -  4.0000MB  6.0409GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
515.62ms  636.65us                    -               -         -         -         -  4.0000MB  6.1356GB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
987.45ms     928ns                    -               -         -         -         -      112B  115.10MB/s  TITAN X (Pascal         1         7  [CUDA memcpy HtoD]
988.02ms  3.4880us                    -               -         -         -         -      512B  139.99MB/s  TITAN X (Pascal         1         7  [CUDA memset]
988.11ms  260.52us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1         7  maxwell_sgemm_128x64_raggedMn_nn_splitK [269]
988.37ms  833.96ms              (1 1 1)         (1 1 1)         8        0B        0B         -           -  TITAN X (Pascal         1        15  clock_block(long*, long) [278]
1.82234s     704ns                    -               -         -         -         -      512B  693.58MB/s  TITAN X (Pascal         1        14  [CUDA memset]
1.82235s     608ns                    -               -         -         -         -      512B  803.09MB/s  TITAN X (Pascal         1        13  [CUDA memset]
1.82235s  253.73us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        14  maxwell_sgemm_128x64_raggedMn_nn_splitK [342]
1.82252s  275.56us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        13  maxwell_sgemm_128x64_raggedMn_nn_splitK [309]
1.82261s     640ns                    -               -         -         -         -      512B  762.94MB/s  TITAN X (Pascal         1        14  [CUDA memset]
1.82269s  293.03us             (8 16 2)       (128 1 1)       120  12.250KB        0B         -           -  TITAN X (Pascal         1        14  maxwell_sgemm_128x64_raggedMn_nn_splitK [404]
1.82280s     640ns                    -               -         -         -         -      512B  762.94MB/s  TITAN X (Pascal         1        13  [CUDA memset]
